"Name","Fill_rate","Normal_capacity","Reserve","Date"
"El Kensera","40.1","216.4","86.8","2017-11-23"
"Bin El Ouidane","70.5","1215.5","856.5","2018-11-23"
"Bin El Ouidane","17.1","1215.5","207.6","2017-11-23"
"Al Hanssali","51.4","668.2","343.7","2018-11-23"
"Al Hanssali","34.8","668.2","232.2","2017-11-23"
"Al Massira","29.7","2657","788.8","2018-11-23"
"Al Massira","18.7","2657","496.5","2017-11-23"
"Oued El Makhazine","85.9","672.9","578.2","2018-11-24"
"Oued El Makhazine","45","672.9","302.7","2017-11-24"
"Hassan II","68.3","392.31","267.94","2018-11-24"
"Hassan II","16.9","392.31","66.2","2017-11-24"
"Oued ZA","96.9","94.9","92","2018-11-24"
"Oued ZA","18.6","94.9","17.7","2017-11-24"
"Mohamed V","97.6","239.5","233.7","2018-11-24"
"Mohamed V","3.6","239.5","8.5","2017-11-24"
"Idriss 1er","76.7","1129.6","866.1","2018-11-24"
"Idriss 1er","38.5","1129.6","434.9","2017-11-24"
"Al Wahda","58.5","3522.3","2059.4","2018-11-24"
"Al Wahda","42","3522.3","1479.1","2017-11-24"
"El Kensera","87.6","216.4","189.5","2018-11-24"
"El Kensera","40.1","216.4","86.7","2017-11-24"
"Bin El Ouidane","71","1215.5","863","2018-11-24"
"Bin El Ouidane","17.1","1215.5","207.6","2017-11-24"
"Al Hanssali","52.5","668.2","350.6","2018-11-24"
"Al Hanssali","34.9","668.2","233","2017-11-24"
"Al Massira","29.8","2657","790.7","2018-11-24"
"Al Massira","18.6","2657","494.6","2017-11-24"
"Oued El Makhazine","86.3","672.9","580.6","2018-11-25"
"Oued El Makhazine","45","672.9","302.7","2017-11-25"
"Hassan II","68.4","392.31","268.24","2018-11-25"
"Hassan II","16.9","392.31","66.2","2017-11-25"
"Oued ZA","96.9","94.9","92","2018-11-25"
"Oued ZA","18.6","94.9","17.7","2017-11-25"
"Mohamed V","97.8","239.5","234.2","2018-11-25"
"Mohamed V","3.6","239.5","8.5","2017-11-25"
"Idriss 1er","76.5","1129.6","863.7","2018-11-25"
"Idriss 1er","38.5","1129.6","434.9","2017-11-25"
"Al Wahda","58.4","3522.3","2057.6","2018-11-25"
"Al Wahda","42","3522.3","1479.1","2017-11-25"
"El Kensera","89.1","216.4","192.9","2018-11-25"
"El Kensera","40.1","216.4","86.7","2017-11-25"
"Bin El Ouidane","71.5","1215.5","869.4","2018-11-25"
"Bin El Ouidane","17.1","1215.5","207.6","2017-11-25"
"Al Hanssali","53.3","668.2","355.9","2018-11-25"
"Al Hanssali","34.9","668.2","233","2017-11-25"
"Al Massira","29.9","2657","794.3","2018-11-25"
"Al Massira","18.6","2657","494.6","2017-11-25"
"Oued El Makhazine","87.2","672.9","587","2018-11-26"
"Oued El Makhazine","44.9","672.9","301.9","2017-11-26"
"Hassan II","68.5","392.31","268.63","2018-11-26"
"Hassan II","16.9","392.31","66.2","2017-11-26"
"Oued ZA","97","94.9","92","2018-11-26"
"Oued ZA","18.7","94.9","17.8","2017-11-26"
"Mohamed V","98.4","239.5","235.7","2018-11-26"
"Mohamed V","1.4","239.5","3.4","2017-11-26"
"Idriss 1er","76.1","1129.6","859.2","2018-11-26"
"Idriss 1er","38.2","1129.6","431.5","2017-11-26"
"Al Wahda","58.6","3522.3","2065.7","2018-11-26"
"Al Wahda","42","3522.3","1479.1","2017-11-26"
"El Kensera","91.5","216.4","198.1","2018-11-26"
"El Kensera","40.1","216.4","86.7","2017-11-26"
"Bin El Ouidane","72","1215.5","874.7","2018-11-26"
"Bin El Ouidane","17.1","1215.5","207.6","2017-11-26"
"Al Hanssali","53.7","668.2","359","2018-11-26"
"Al Hanssali","35.1","668.2","234.5","2017-11-26"
"Al Massira","30.1","2657","800.5","2018-11-26"
"Al Massira","18.4","2657","489","2017-11-26"
"Oued El Makhazine","89.2","672.9","600.4","2018-11-27"
"Oued El Makhazine","44.8","672.9","301.5","2017-11-27"
"Hassan II","68.5","392.31","268.83","2018-11-27"
"Hassan II","16.9","392.31","66.1","2017-11-27"
"Oued ZA","97.1","94.9","92.2","2018-11-27"
"Oued ZA","18.8","94.9","17.9","2017-11-27"
"Mohamed V","97.8","239.5","234.2","2018-11-27"
"Mohamed V","1.4","239.5","3.4","2017-11-27"
"Idriss 1er","75.8","1129.6","856.8","2018-11-27"
"Idriss 1er","38.2","1129.6","431.5","2017-11-27"
